Carlos,Arney,arne9348@umn.edu,A,001
Randall,Blackwell,blac0000@umn.edu,A,010
Ann,Gibson,gibs0123@umn.edu,B+,001
David,Woodhouse,wood1337@umn.edu,F,001
Michael,Smith,smit9001@umn.edu,D+,010
Mary,Rasmussen,rasm0042@umn.edu,A,001
Martin,Hughes,hugh3333@umn.edu,F,001
Melanie,Mouzon,mouz8112@umn.edu,C-,010
Christine,Bonin,boni4822@umn.edu,B-,001
William,Holland,holl0331@umn.edu,B-,010
Doyle,Dye,dyex4721@umn.edu,F,010
Steve,Burkey,burk1449@umn.edu,A-,001
Christine,Frazier,fraz0023@umn.edu,C+,001
Nell,Granberry,gran1052@umn.edu,D,010
Madeleine,Daniel,daniboy@umn.edu,A,001
Lillie,Callender,call4112@umn.edu,C,010
Shoshana,Falls,fall0332@umn.edu,C+,001
Cynthia,Morgan,morg4121@umn.edu,B+,001
Dorothy,Reed,reed8847@umn.edu,C-,010
Tyler,Puleo,pule0006@umn.edu,D,010
Tommy,Guzman,guzmmmm@umn.edu,F,001
